CÓDIGO OACI;CIAD;NOME;MUNICÍPIO;UF;MUNICÍPIO SERVIDO;UF SERVIDO;LatGeoPoint;LonGeoPoint;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO DIURNA;OPERAÇÃO NOTURNA;DESIGNAÇÃO 1;COMPRIMENTO 1;LARGURA 1;RESISTÊNCIA 1;SUPERFÍCIE 1;DESIGNAÇÃO 2;COMPRIMENTO2;LARGURA 2;RESISTÊNCIA 2;SUPERFÍCIE 2;SITUAÇÃO;ValidadedoRegistro;PortariadeRegistro;Link Portaria
SSNG;RS0046;Montenegro;MONTENEGRO;Rio Grande do Sul;Montenegro;Rio Grande do Sul;-29.719722;-51.488889;"29°43'11.0S""";"051°29'20.0W""";24;VFR;Sem Operação;13/31;9,200,000;23,00;5700 Kg /   0.50 MPa;Grama;;;;;;Cadastrado;13/07/2026;PA2016-1774;https://pergamum.anac.gov.br/arquivos/PA2016-1774.pdf
SNMR;BA0065;Maraú;MARAÚ;Bahia;Maraú;Bahia;-14.117222;-38.983889;"14°07'02.0S""";"038°59'02.0W""";20;VFR;Sem Operação;dez/30;8,000,000;30,00;5000 Kg /   0.50 MPa;Areia;;;;;;Interditado;;;
SWBR;AM0018;Borba;BORBA;Amazonas;Borba;Amazonas;-4.4086111;-59.597778;"04°24'31.0S""";"059°35'52.0W""";90;VFR;Sem Operação;dez/30;12,000,000;30,00;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;;;
SBAE;SP0010;Aeroporto Estadual de Bauru-Arealva;AREALVA;São Paulo;Bauru;São Paulo;-22.157778;-49.068333;"22°09'28.0S""";"049°04'06.0W""";594;VFR / IFR Não Precisão;VFR / IFR Não Precisão;17/35;20,100,000;45,00;42/F/A/X/T;Asfalto;;;;;;Cadastrado;04/04/2023;PA2013-0888;https://pergamum.anac.gov.br/arquivos/PA2013-0888.pdf
SIMK;SP0011;Tenente Lund Pressoto;FRANCA;São Paulo;Franca;São Paulo;-20.590278;-47.3825;"20°35'25.0S""";"047°22'57.0W""";1003;VFR;VFR;mai/23;20,000,000;30,00;26/F/B/X/T;Asfalto;;;;;;Cadastrado;08/01/2026;PA2016-0034;https://pergamum.anac.gov.br/arquivos/PA2016-0034.pdf
SBML;SP0014;Frank Miloye Milenkovich;MARÍLIA;São Paulo;Marília;São Paulo;-22.195556;-49.926944;"22°11'44.0S""";"049°55'37.0W""";650;VFR / IFR Não Precisão;VFR / IFR Não Precisão;mar/21;17,000,000;35,00;35/F/B/X/T;Asfalto;;;;;;Cadastrado;10/05/2027;PA2017-1580;https://pergamum.anac.gov.br/arquivos/PA2017-1580.pdf
SNWC;CE0011;Camocim;CAMOCIM;Ceará;Camocim;Ceará;-2.8958333;-40.858889;"02°53'45.0S""";"040°51'32.0W""";14;VFR;VFR;14/32;12,000,000;30,00;14/F/B/Y/U;Asfalto;;;;;;Interditado;07/05/2030;PA2020-1190;https://pergamum.anac.gov.br/arquivos/PA2020-1190.pdf
SSKM;PR0017;Campo Mourão;CAMPO MOURÃO;Paraná;Campo Mourão;Paraná;-24.0025;-52.356944;"24°00'09.0S""";"052°21'25.0W""";574;VFR;VFR;fev/20;13,700,000;30,00;14/F/C/Y/U;Asfalto;;;;;;Cadastrado;04/03/2030;PA2020-0578;https://pergamum.anac.gov.br/arquivos/PA2020-0578.pdf
SWNS;GO0004;Anápolis;ANÁPOLIS;Goiás;Anápolis;Goiás;-16.3625;-48.928056;"16°21'45.0S""";"048°55'41.0W""";1112;VFR;VFR;jul/25;12,180,000;45,00;30/F/C/X/U;Asfalto;;;;;;Cadastrado;16/04/2030;PA2020-1010;https://pergamum.anac.gov.br/arquivos/PA2020-1010.pdf
SNGX;MG0023;Guaxupé;GUAXUPÉ;Minas Gerais;Guaxupé;Minas Gerais;-21.326667;-46.730278;"21°19'36.0S""";"046°43'49.0W""";849;VFR;VFR;dez/30;15,000,000;30,00;19/F/A/Y/T;Asfalto;;;;;;Cadastrado;23/06/2030;PA2020-1564;https://pergamum.anac.gov.br/arquivos/PA2020-1564.pdf
SBGL;RJ0001;Galeão - Antônio Carlos Jobim;RIO DE JANEIRO;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;-22.81;-43.250556;"22°48'36.0S""";"043°15'02.0W""";9;VFR / IFR - CAT II;VFR / IFR - CAT II;15/33;31,800,000;47,00;73/F/B/X/T;Asfalto;out/28;40,000,000;45,00;78/R/A/W/T;Concreto;Cadastrado;11/07/2022;PA2012-1398;https://pergamum.anac.gov.br/arquivos/PA2012-1398.pdf
SBCF;MG0001;Tancredo Neves;CONFINS;Minas Gerais;Belo Horizonte;Minas Gerais;-19.624444;-43.971944;"19°37'28.0S""";"043°58'19.0W""";829;;;16/34;36,000,000;45,00;75/F/B/W/T;Asfalto;;;;;;Cadastrado;13/08/2028;PA2018-2457;https://pergamum.anac.gov.br/arquivos/PA2018-2457.pdf
SNIC;BA0019;Irecê;IRECÊ;Bahia;Irecê;Bahia;-11.34;-41.846944;"11°20'24.0S""";"041°50'49.0W""";784;VFR;VFR;nov/29;14,000,000;30,00;5700 Kg /   0.50 MPa;Asfalto;;;;;;Cadastrado;20/05/2030;PA2020-1299;https://pergamum.anac.gov.br/arquivos/PA2020-1299.pdf
